shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
ITAUSA      PN  EJB N1;2024-12-11T14:15:08,000Z;9,4;9,47;9,4;2227500;ITSA4;1,2947801
COPASA      ON      NM;2024-12-11T14:11:01,000Z;24,76;24,79;24,3;200300;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-11T14:15:08,000Z;39,5;39,55;38,99;236100;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-10T19:41:22,000Z;3,57;3,59;3,48;384500;FIQE3;0,4900955
TIM         ON      NM;2024-12-11T14:13:33,000Z;15,79;15,89;15,72;478000;TIMS3;1,3174606
TELEF BRASILON;2024-12-11T14:11:11,000Z;51,33;51,8;51,23;128700;VIVT3;3,2658407
PETZ        ON      NM;2024-12-10T19:43:49,000Z;4,05;4,06;3,8;6866400;PETZ3;0,0119488
SABESP      ON      NM;2024-12-10T19:45:01,000Z;91,44;92,27;90,7;1472200;SBSP3;13,6514839
FII RIZA TX CI  ER;2024-12-12T14:35:29,000Z;83,4;83,83;82,57;25126;RZTR11;None
FII HGCR PAXCI  ER;2024-12-12T14:35:02,000Z;89,3;90,09;88,5;18244;HGCR11;None
FII XP CRED CI  ER;2024-12-12T14:38:19,000Z;69,78;70,97;69,5;6237;XPCI11;None
FII MERITO ICI  ER;2024-12-12T14:35:11,000Z;84,65;84,65;83,7;2450;MFII11;None
FII TG ATIVOCI  ER;2024-12-12T14:35:19,000Z;86,18;86,86;86;23577;TGAR11;None
FII BC FUND CI;2024-12-12T14:34:56,000Z;40,1;40,2;39,95;5034;BRCR11;None
FII XP SELECCI  ER;2024-12-12T14:34:49,000Z;5,87;5,92;5,85;20221;XPSF11;None
FII BTLG    CI;2024-12-12T14:35:02,000Z;90,21;91,34;89,63;29290;BTLG11;None
FII VBI LOG CI  ER;2024-12-12T14:35:11,000Z;91,98;92,29;91,35;6550;LVBI11;None
FII VINCI LGCI  ER;2024-12-12T14:35:24,000Z;69,73;70,34;69,53;6755;VILG11;None
FII XP LOG  CI  ER;2024-12-12T14:35:13,000Z;90,4;90,62;89,32;15747;XPLG11;None
FII HEDGEBS CI  ERS;2024-12-12T14:38:21,000Z;180,1;182,5;180,1;5146;HGBS11;None
FII VINCI SCCI  ER;2024-12-12T14:35:08,000Z;89,63;89,81;87,98;20769;VISC11;None
FII XP MALLSCI  ES;2024-12-12T14:35:23,000Z;96,76;96,93;95,61;51413;XPML11;None
FII TRX REALCI  ER;2024-12-12T14:38:22,000Z;94,72;95,25;94,14;15724;TRXF11;None
BRASIL      ON      NM;2024-12-12T14:34:59,000Z;24,83;25,09;24,8;3982000;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-12T14:38:21,000Z;30,77;31,2;30,4;2841400;BPAC11;None
ISA ENERGIA PN      N1;2024-12-12T14:38:35,000Z;24,79;25,15;24,77;417500;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-12T14:38:24,000Z;41,45;42,18;41,44;134400;ORVR3;1,9278731
ITAUSA      PN  EJB N1;2024-12-12T14:34:55,000Z;9,3;9,45;9,28;6232800;ITSA4;1,2947801
COPASA      ON      NM;2024-12-12T14:35:37,000Z;23,8;24,36;23,79;293300;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-12T14:34:58,000Z;40,65;40,73;40,01;494700;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-12T14:38:18,000Z;3,55;3,66;3,55;91600;FIQE3;0,4900955
TIM         ON      NM;2024-12-12T14:38:26,000Z;15,58;15,93;15,57;1409100;TIMS3;1,3174606
TELEF BRASILON;2024-12-12T14:34:57,000Z;51,52;52,24;51,48;283600;VIVT3;3,2658407
PETZ        ON      NM;2024-12-11T14:15:10,000Z;4,12;4,14;4,08;589000;PETZ3;0,0119488
SABESP      ON      NM;2024-12-12T14:34:53,000Z;91,23;92,43;91,18;322700;SBSP3;13,6514839
FII RIZA TX CI;2024-12-16T13:24:30,000Z;84,04;84,32;83,01;4817;RZTR11;None
FII HGCR PAXCI;2024-12-16T13:25:04,000Z;90,64;90,73;90,23;2435;HGCR11;None
FII XP CRED CI;2024-12-16T13:24:29,000Z;70,95;71;70,57;1238;XPCI11;None
FII MERITO ICI;2024-12-16T13:24:27,000Z;83,1;84,34;82,62;2158;MFII11;None
FII TG ATIVOCI;2024-12-16T13:21:29,000Z;88,97;89;88,5;5874;TGAR11;None
FII BC FUND CI  ER;2024-12-16T13:24:42,000Z;40,79;40,85;40,22;3487;BRCR11;None
FII XP SELECCI;2024-12-16T13:24:33,000Z;5,93;5,99;5,87;11568;XPSF11;None
FII BTLG    CI;2024-12-16T13:24:44,000Z;90,25;91,48;89,57;9905;BTLG11;None
FII VBI LOG CI;2024-12-16T13:24:42,000Z;92,29;92,6;91,9;2658;LVBI11;None
FII VINCI LGCI;2024-12-16T13:24:47,000Z;71,88;72,09;71,6;1717;VILG11;None
FII XP LOG  CI;2024-12-16T13:24:39,000Z;90,92;91,05;90,05;5134;XPLG11;None
FII HEDGEBS CI;2024-12-16T13:21:26,000Z;180,99;181,15;180,76;1484;HGBS11;None
FII VINCI SCCI;2024-12-16T13:24:42,000Z;93;93,58;92,4;6521;VISC11;None
FII XP MALLSCI;2024-12-16T13:20:53,000Z;98,75;98,98;97,81;13108;XPML11;None
FII TRX REALCI;2024-12-16T13:24:46,000Z;98;98;97,7;4023;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-16T13:24:29,000Z;24,56;24,59;24,47;886400;BBAS3;3,633902
BTGP BANCO  UNT ATZ N2;2024-12-16T13:24:47,000Z;29,99;30,36;29,87;591900;BPAC11;None
ISA ENERGIA PN      N1;2024-12-16T13:25:20,000Z;24,18;24,3;24,06;269800;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-16T13:23:27,000Z;41,31;41,43;41,04;3800;ORVR3;1,9278731
ITAUSA      PN  EJ  N1;2024-12-16T13:21:53,000Z;9,12;9,2;9,07;2556900;ITSA4;1,2947801
COPASA      ON      NM;2024-12-16T13:24:39,000Z;22,89;23,01;22,79;38900;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-16T13:24:50,000Z;38,65;38,8;38,46;78000;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-16T13:25:16,000Z;3,57;3,58;3,53;21300;FIQE3;0,4900955
TIM         ON      NM;2024-12-16T13:24:51,000Z;15,2;15,29;15,2;71400;TIMS3;1,3174606
TELEF BRASILON;2024-12-16T13:24:52,000Z;49,64;50;49,36;49700;VIVT3;3,2658407
PETZ        ON      NM;2024-12-16T13:24:41,000Z;3,96;3,99;3,94;130600;PETZ3;0,0119488
SABESP      ON      NM;2024-12-16T13:25:20,000Z;88,88;90,03;88,85;219600;SBSP3;13,6514839
FII RIZA TX CI;2024-12-16T14:15:08,000Z;83,61;84,32;83,01;10633;RZTR11;None
FII HGCR PAXCI;2024-12-16T13:25:04,000Z;90,64;90,73;90,23;2435;HGCR11;None
FII XP CRED CI;2024-12-16T14:15:04,000Z;69,96;71;69,01;6912;XPCI11;None
FII MERITO ICI;2024-12-16T14:15:09,000Z;83,07;84,34;82,62;3784;MFII11;None
FII TG ATIVOCI;2024-12-16T14:11:29,000Z;88,39;89;88,3;16379;TGAR11;None
FII BC FUND CI  ER;2024-12-16T14:14:55,000Z;40,23;40,85;40;13925;BRCR11;None
FII XP SELECCI;2024-12-16T14:15:04,000Z;5,99;6,04;5,87;23042;XPSF11;None
FII BTLG    CI;2024-12-16T14:14:59,000Z;89,62;91,48;89,29;28012;BTLG11;None
FII VBI LOG CI;2024-12-16T14:15:26,000Z;91,8;92,6;91,76;7617;LVBI11;None
FII VINCI LGCI;2024-12-16T14:11:26,000Z;72;72,46;71,58;6448;VILG11;None
FII XP LOG  CI;2024-12-16T14:15:13,000Z;90,96;91,36;90,05;13331;XPLG11;None
FII HEDGEBS CI;2024-12-16T14:11:47,000Z;181;181,26;180;3520;HGBS11;None
FII VINCI SCCI;2024-12-16T14:11:28,000Z;92,2;93,58;91,21;22875;VISC11;None
FII XP MALLSCI;2024-12-16T14:15:35,000Z;98,27;98,98;97,81;33352;XPML11;None
FII TRX REALCI;2024-12-16T14:15:10,000Z;97,95;98;97,34;11527;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-16T14:13:28,000Z;24,45;24,6;24,42;1854200;BBAS3;3,633902
BTGP BANCO  UNT ATZ N2;2024-12-16T14:15:49,000Z;29,36;30,36;29,36;2996300;BPAC11;None
ISA ENERGIA PN      N1;2024-12-16T13:25:20,000Z;24,18;24,3;24,06;269800;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-16T14:15:34,000Z;41,01;41,43;40,93;26500;ORVR3;1,9278731
ITAUSA      PN  EJ  N1;2024-12-16T14:13:27,000Z;9,08;9,2;9,07;4099400;ITSA4;1,2947801
COPASA      ON      NM;2024-12-16T14:15:31,000Z;22,72;23,01;22,68;130900;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-16T14:15:11,000Z;38,91;39,05;38,46;386100;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-16T13:25:16,000Z;3,57;3,58;3,53;21300;FIQE3;0,4900955
TIM         ON      NM;2024-12-16T14:15:46,000Z;15,25;15,29;15,2;476100;TIMS3;1,3174606
TELEF BRASILON;2024-12-16T14:14:59,000Z;49,77;50;49,36;171600;VIVT3;3,2658407
PETZ        ON      NM;2024-12-16T13:24:41,000Z;3,96;3,99;3,94;130600;PETZ3;0,0119488
SABESP      ON      NM;2024-12-16T13:25:20,000Z;88,88;90,03;88,85;219600;SBSP3;13,6514839
FII RIZA TX CI;2024-12-17T14:15:41,000Z;81,51;83,14;81,51;18954;RZTR11;None
FII HGCR PAXCI;2024-12-17T14:15:12,000Z;89,44;89,57;89,05;6122;HGCR11;None
FII XP CRED CI;2024-12-17T14:15:37,000Z;69,22;70,57;69,21;3095;XPCI11;None
FII MERITO ICI;2024-12-17T14:12:55,000Z;82,65;83,1;82,51;1869;MFII11;None
FII RIZA TX CI;2024-12-18T14:55:00,000Z;80,7;82,5;80,56;22937;RZTR11;None
FII HGCR PAXCI;2024-12-18T14:56:52,000Z;88,57;89,97;87,56;15807;HGCR11;None
FII XP CRED CI;2024-12-18T14:55:29,000Z;66,8;70,07;66,61;16526;XPCI11;None
FII MERITO ICI;2024-12-18T14:54:40,000Z;82,21;82,68;81,51;3148;MFII11;None
FII TG ATIVOCI;2024-12-18T14:54:53,000Z;84,28;85,07;84,11;22765;TGAR11;None
FII BC FUND CI  ER;2024-12-18T14:54:43,000Z;39,66;40,35;39,65;12019;BRCR11;None
FII XP SELECCI;2024-12-18T14:55:24,000Z;5,83;5,85;5,8;24900;XPSF11;None
FII BTLG    CI;2024-12-18T14:56:40,000Z;89,24;89,4;87,3;36883;BTLG11;None
FII VBI LOG CI;2024-12-18T14:55:01,000Z;89,84;90,48;89,28;11655;LVBI11;None
FII VINCI LGCI;2024-12-18T14:55:25,000Z;68,73;71,24;68,2;17318;VILG11;None
FII XP LOG  CI;2024-12-18T14:55:27,000Z;89,23;89,84;89,02;14092;XPLG11;None
FII HEDGEBS CI;2024-12-18T14:54:57,000Z;180,2;181,41;180,03;3041;HGBS11;None
FII VINCI SCCI;2024-12-18T14:55:20,000Z;89,97;92;89,5;22127;VISC11;None
FII XP MALLSCI;2024-12-18T14:55:27,000Z;94,34;95,6;93,64;68895;XPML11;None
FII TRX REALCI;2024-12-18T14:54:58,000Z;97,66;98,25;97,37;27851;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-18T14:56:47,000Z;24,05;24,4;24,04;6942300;BBAS3;3,633902
BTGP BANCO  UNT ATZ N2;2024-12-18T14:56:46,000Z;28,48;29,22;28,46;2860500;BPAC11;None
ISA ENERGIA PN      N1;2024-12-18T14:56:56,000Z;24,23;24,38;24,2;792600;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-18T14:56:41,000Z;40,43;41,07;40,43;68400;ORVR3;1,9278731
ITAUSA      PN  EJ  N1;2024-12-18T14:56:47,000Z;8,87;9,03;8,83;11065200;ITSA4;1,2947801
COPASA      ON      NM;2024-12-18T14:56:43,000Z;22,04;22,29;21,82;443800;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-18T14:56:45,000Z;38,92;39,14;38,01;757000;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-18T14:54:37,000Z;3,47;3,5;3,44;126300;FIQE3;0,4900955
TIM         ON      NM;2024-12-18T14:56:48,000Z;14,82;14,92;14,74;2041800;TIMS3;1,3174606
TELEF BRASILON;2024-12-18T14:56:49,000Z;48,8;49,22;48,72;817100;VIVT3;3,2658407
PETZ        ON      NM;2024-12-18T14:56:58,000Z;3,73;3,94;3,67;3248500;PETZ3;0,0119488
SABESP      ON      NM;2024-12-18T14:56:59,000Z;90,3;90,65;89,55;2876700;SBSP3;13,6514839FII RIZA TX CI;2024-12-19T17:05:34,000Z;79,49;80,77;79,22;42828;RZTR11;None
FII HGCR PAXCI;2024-12-19T17:04:59,000Z;88,14;88,27;86,05;26679;HGCR11;None
FII XP CRED CI;2024-12-19T17:05:18,000Z;66,93;67,6;66,21;17882;XPCI11;None
FII MERITO ICI;2024-12-19T17:05:16,000Z;80,49;81,2;80,09;3511;MFII11;None
FII TG ATIVOCI;2024-12-19T17:03:54,000Z;81,74;83,97;80,92;72936;TGAR11;None
FII BC FUND CI  ER;2024-12-19T17:04:50,000Z;38,96;39,69;38,9;24392;BRCR11;None
FII BC FUND CI;2024-12-19T17:05:40,000Z;7,96;8,04;7,87;477817;BTHF11;None
FII XP SELECCI;2024-12-19T17:05:27,000Z;5,62;5,73;5,61;50482;XPSF11;None
FII BTLG    CI;2024-12-19T17:05:39,000Z;87,01;88,1;85,7;94751;BTLG11;NoneFII RIZA TX CI;2024-12-19T17:05:34,000Z;79,49;80,77;79,22;42828;RZTR11;None
FII HGCR PAXCI;2024-12-19T17:04:59,000Z;88,14;88,27;86,05;26679;HGCR11;None
FII XP CRED CI;2024-12-19T17:05:18,000Z;66,93;67,6;66,21;17882;XPCI11;None
FII MERITO ICI;2024-12-19T17:05:16,000Z;80,49;81,2;80,09;3511;MFII11;None
FII TG ATIVOCI;2024-12-19T17:03:54,000Z;81,74;83,97;80,92;72936;TGAR11;None
FII BC FUND CI  ER;2024-12-19T17:04:50,000Z;38,96;39,69;38,9;24392;BRCR11;None
FII RIZA TX CI;2024-12-20T15:35:38,000Z;80,39;80,99;79,81;29128;RZTR11;None
FII HGCR PAXCI;2024-12-20T15:35:02,000Z;88,61;89,75;88,01;14727;HGCR11;None
FII XP CRED CI;2024-12-20T15:35:34,000Z;69,14;69,85;67,35;10267;XPCI11;None
FII MERITO ICI;2024-12-20T15:33:49,000Z;81,12;81,18;80,4;6464;MFII11;None
FII TG ATIVOCI;2024-12-20T15:33:51,000Z;81,7;81,99;80,4;45356;TGAR11;None
FII BC FUND CI  ER;2024-12-20T15:35:02,000Z;38,78;39,01;38,6;22266;BRCR11;None
FII RIZA TX CI;2024-12-23T14:35:22,000Z;83,9;83,93;80,98;17758;RZTR11;None
FII HGCR PAXCI;2024-12-23T14:35:01,000Z;92,43;93;91;12337;HGCR11;None
FII XP CRED CI;2024-12-23T14:33:00,000Z;72,2;72,93;70,49;4971;XPCI11;None
FII MERITO ICI;2024-12-23T14:33:19,000Z;83,3;83,85;80,8;4947;MFII11;None
FII TG ATIVOCI;2024-12-23T14:35:14,000Z;85,94;86,5;82,59;30943;TGAR11;None
FII BC FUND CI;2024-12-23T14:34:59,000Z;41,29;41,3;40;41764;BRCR11;None
FII RIZA TX CI;2024-12-23T21:00:00,000Z;83,5;83,93;80,98;76327;RZTR11;None
FII HGCR PAXCI;2024-12-23T14:35:01,000Z;92,43;93;91;12337;HGCR11;None
FII XP CRED CI;2024-12-23T21:06:00,000Z;71,91;74,01;70,49;25154;XPCI11;None
FII MERITO ICI;2024-12-23T21:05:00,000Z;83,72;83,85;80,8;15462;MFII11;None
FII TG ATIVOCI;2024-12-23T21:07:31,000Z;83,02;86,5;82,59;141141;TGAR11;None
FII BC FUND CI;2024-12-23T21:05:00,000Z;41,42;41,5;40;72421;BRCR11;None
FII RIZA TX CI;2024-12-26T21:06:00,000Z;85,14;85,27;83,6;67734;RZTR11;None
FII HGCR PAXCI;2024-12-26T21:00:00,000Z;93,73;94,74;92,85;30309;HGCR11;None
FII XP CRED CI;2024-12-26T21:00:00,000Z;72,94;73,65;71,55;29784;XPCI11;None
FII MERITO ICI;2024-12-26T21:05:00,000Z;85,05;85,05;83,72;13867;MFII11;None
FII TG ATIVOCI;2024-12-26T21:07:31,000Z;86,68;87,98;83,93;109168;TGAR11;None
FII BC FUND CI;2024-12-26T21:05:00,000Z;41,43;41,89;41,12;36286;BRCR11;None
FII RIZA TX CI;2024-12-27T16:51:07,000Z;85,49;85,72;84,69;21137;RZTR11;None
FII HGCR PAXCI;2024-12-26T21:00:00,000Z;93,73;94,74;92,85;30309;HGCR11;None
FII XP CRED CI;2024-12-27T16:50:36,000Z;74,58;74,98;72,94;10235;XPCI11;None
FII MERITO ICI;2024-12-27T16:51:22,000Z;89,17;89,86;85,05;6080;MFII11;None
FII TG ATIVOCI;2024-12-27T16:51:21,000Z;89,12;90,5;87,16;68050;TGAR11;None
FII BC FUND CI  ER;2024-12-27T16:51:20,000Z;41,44;41,89;41,42;12374;BRCR11;None
FII RIZA TX CI  ER;2025-01-07T14:53:31,000Z;86,62;86,88;84,92;27070;RZTR11;None
FII HGCR PAXCI  ER;2025-01-07T14:53:24,000Z;92,24;92,45;91,86;4365;HGCR11;None
FII XP CRED CI  ER;2025-01-07T14:53:14,000Z;75,73;76,4;74,61;3878;XPCI11;None
FII MERITO ICI  ER;2025-01-07T14:53:32,000Z;89,98;90,99;89,09;1901;MFII11;None
FII TG ATIVOCI  ER;2025-01-07T14:53:20,000Z;87,9;88,07;87,52;33330;TGAR11;None
FII BC FUND CI;2025-01-07T14:53:33,000Z;40,43;41,47;40,41;13996;BRCR11;None
FII RIZA TX CI  ER;2025-01-08T14:53:22,000Z;85,05;86,32;84,96;12898;RZTR11;None
FII HGCR PAXCI  ER;2025-01-08T14:50:03,000Z;93,55;93,93;92,07;6439;HGCR11;None
FII XP CRED CI  ER;2025-01-08T14:53:28,000Z;74,53;75,6;74,53;4938;XPCI11;None
FII MERITO ICI  ER;2025-01-08T14:51:48,000Z;90,83;90,99;90,33;1968;MFII11;None
FII TG ATIVOCI  ER;2025-01-08T14:51:50,000Z;86,7;88,28;86,29;20063;TGAR11;None
FII BC FUND CI;2025-01-08T14:53:17,000Z;40,82;41;40,6;11099;BRCR11;None
FII RIZA TX CI  ER;2025-01-09T14:14:49,000Z;83,82;85,03;83;13446;RZTR11;None
FII HGCR PAXCI  ER;2025-01-09T14:15:05,000Z;93,05;93,12;92;3769;HGCR11;None
FII XP CRED CI  ER;2025-01-09T14:14:35,000Z;73,99;74,75;73,86;2096;XPCI11;None
FII MERITO ICI  ER;2025-01-09T14:15:06,000Z;89,98;90,72;89,04;3678;MFII11;None
FII TG ATIVOCI  ER;2025-01-09T14:15:06,000Z;84,49;86,31;83,99;23259;TGAR11;None
FII BC FUND CI;2025-01-09T14:14:56,000Z;40,18;40,78;40,11;3359;BRCR11;None
FII RIZA TX CI  ER;2025-01-10T14:14:00,000Z;84,8;85,3;84,1;12638;RZTR11;None
FII HGCR PAXCI  ER;2025-01-10T14:13:49,000Z;94,19;94,44;92,7;5342;HGCR11;None
FII XP CRED CI  ER;2025-01-10T14:14:19,000Z;74,21;74,25;72,52;5152;XPCI11;None
FII MERITO ICI  ER;2025-01-10T14:13:01,000Z;88,42;89,6;88,05;1091;MFII11;None
FII TG ATIVOCI  ER;2025-01-10T14:14:20,000Z;84,1;84,28;83,3;11052;TGAR11;None
FII BC FUND CI;2025-01-10T14:14:32,000Z;39,66;40,42;39,55;6573;BRCR11;None
FII RIZA TX CI  ER;2025-01-13T14:15:03,000Z;84,48;85,18;84,41;6103;RZTR11;None
FII HGCR PAXCI  ER;2025-01-13T14:14:51,000Z;94,37;94,65;94,03;4096;HGCR11;None
FII XP CRED CI  ER;2025-01-13T14:15:02,000Z;74,62;75,36;74,58;1463;XPCI11;None
FII MERITO ICI  ER;2025-01-13T14:15:13,000Z;89,22;89,76;89,14;1966;MFII11;None
FII TG ATIVOCI  ER;2025-01-13T14:15:10,000Z;84,8;85;84,31;7205;TGAR11;None
FII BC FUND CI  ER;2025-01-13T14:12:09,000Z;39,79;39,99;39,66;4635;BRCR11;None
FII RIZA TX CI  ER;2025-01-14T14:14:51,000Z;84,76;84,98;84,32;6310;RZTR11;None
FII HGCR PAXCI  ER;2025-01-14T14:14:31,000Z;93,69;93,73;93,24;2522;HGCR11;None
FII XP CRED CI  ER;2025-01-14T14:15:22,000Z;73,86;74,31;73,67;1597;XPCI11;None
FII MERITO ICI  ER;2025-01-14T14:14:26,000Z;88;88,47;87,11;542;MFII11;None
FII TG ATIVOCI  ER;2025-01-14T14:15:11,000Z;85,95;86;84,8;8025;TGAR11;None
FII BC FUND CI  ER;2025-01-14T14:15:09,000Z;39,96;40,22;39,72;4513;BRCR11;None
FII RIZA TX CI  ER;2025-01-15T14:14:53,000Z;83,71;84,47;83,25;10995;RZTR11;None
FII HGCR PAXCI  ER;2025-01-15T14:15:23,000Z;93,57;93,99;93,34;3144;HGCR11;None
FII XP CRED CI  ER;2025-01-15T14:16:15,000Z;74,04;74,6;74,01;2454;XPCI11;None
FII MERITO ICI  ER;2025-01-15T14:15:37,000Z;88,29;88,46;87,93;1897;MFII11;None
FII TG ATIVOCI  ER;2025-01-15T14:15:49,000Z;87,1;87,1;85,32;13071;TGAR11;None
FII BC FUND CI  ER;2025-01-15T14:15:07,000Z;40,28;40,7;40,2;5499;BRCR11;None
FII RIZA TX CI  ER;2025-01-16T14:12:55,000Z;83,67;84,17;83,67;5569;RZTR11;None
FII HGCR PAXCI  ER;2025-01-16T14:13:00,000Z;94,03;94,28;93,11;2531;HGCR11;None
FII XP CRED CI  ER;2025-01-16T14:14:07,000Z;73,91;74,03;73,63;3633;XPCI11;None
FII MERITO ICI  ER;2025-01-16T14:15:32,000Z;88,96;89,3;87,5;2455;MFII11;None
FII TG ATIVOCI  ER;2025-01-16T14:13:05,000Z;87,44;87,84;86,73;8711;TGAR11;None
FII BC FUND CI  ER;2025-01-16T14:14:51,000Z;40,25;40,6;40,16;5064;BRCR11;None
FII RIZA TX CI  ER;2025-01-17T14:14:38,000Z;82,99;83,34;82,5;15725;RZTR11;None
FII HGCR PAXCI  ER;2025-01-17T14:14:43,000Z;91,1;92,3;91;6652;HGCR11;None
FII XP CRED CI  ER;2025-01-17T14:15:53,000Z;71,81;73,78;71,41;6350;XPCI11;None
FII MERITO ICI  ER;2025-01-17T14:15:23,000Z;86,74;88,9;86,4;8716;MFII11;None
FII TG ATIVOCI  ER;2025-01-17T14:14:20,000Z;84,02;85,97;83,38;29422;TGAR11;None
FII BC FUND CI  ER;2025-01-17T14:14:55,000Z;39,69;40,03;39,62;5064;BRCR11;None
FII XP SELECCI  ER;2025-01-17T14:16:04,000Z;5,95;6,14;5,95;29141;XPSF11;None
FII BTLG    CI;2025-01-17T14:14:29,000Z;92,37;93,6;90,46;50431;BTLG11;None
FII LVBI VBICI  ER;2025-01-17T14:15:51,000Z;92,07;93,56;90,83;16407;LVBI11;None
FII VINCI LGCI  ER;2025-01-17T14:11:45,000Z;70,89;72,64;70,6;7223;VILG11;None
FII XP LOG  CI  ER;2025-01-17T14:11:40,000Z;90,79;92,19;89,61;19103;XPLG11;None
FII HEDGEBS CI  ER;2025-01-17T14:14:09,000Z;180,56;182,8;180;5979;HGBS11;None
FII VINCI SCCI  ER;2025-01-17T14:11:33,000Z;92,86;95,99;92,15;22046;VISC11;None
FII XP MALLSCI;2025-01-17T14:13:25,000Z;96,64;98,64;95,6;118514;XPML11;None
FII TRX REALCI  ER;2025-01-17T14:15:02,000Z;98,24;99,99;97;25384;TRXF11;None
BRASIL      ON      NM;2025-01-17T14:11:27,000Z;25,29;25,49;25,19;1519900;BBAS3;3,633902
BTGP BANCO  UNT EJ  N2;2025-01-17T14:15:12,000Z;30;30,43;29,7;1314300;BPAC11;None
ISA ENERGIA PN  EJ  N1;2025-01-17T15:26:34,000Z;22,99;23;22,72;615900;ISAE4;5,0207267
ORIZON      ON      NM;2025-01-17T14:16:06,000Z;36,23;36,48;36,04;32100;ORVR3;1,9278731
ITAUSA      PN      N1;2025-01-17T14:15:05,000Z;9,07;9,08;9;2887700;ITSA4;1,2947801
COPASA      ON      NM;2025-01-17T14:16:09,000Z;21,51;21,67;21,35;228300;CSMG3;3,6900618
PORTO SEGUROON  EJ  NM;2025-01-17T14:15:01,000Z;37,09;37,54;36,92;141100;PSSA3;4,056555
UNIFIQUE    ON      NM;2025-01-17T15:30:02,000Z;3,45;3,47;3,4;55300;FIQE3;0,4900955
TIM         ON      NM;2025-01-17T14:16:23,000Z;14,74;14,77;14,56;802800;TIMS3;1,3174606
TELEF BRASILON;2025-01-17T14:14:53,000Z;48,46;48,63;48,15;123900;VIVT3;3,2658407
PETZ        ON      NM;2025-01-17T15:26:08,000Z;4,47;4,53;4,44;579900;PETZ3;0,0119488
SABESP      ON      NM;2025-01-17T15:31:19,000Z;92,57;92,65;90,62;930700;SBSP3;13,6514839
FII BTHF    CI  ER;2025-01-17T15:31:22,000Z;6,93;7,1;6,9;408460;BTHF11;None
FII RIZA TX CI;2025-01-20T14:14:07,000Z;82,51;83,11;82,02;13837;RZTR11;None
FII HGCR PAXCI;2025-01-20T14:14:55,000Z;90,71;90,88;90,38;7216;HGCR11;None
FII XP CRED CI;2025-01-20T14:15:47,000Z;71,98;72,5;71,76;2609;XPCI11;None
FII MERITO ICI;2025-01-20T14:10:47,000Z;87,1;87,21;86,26;1108;MFII11;None
FII TG ATIVOCI;2025-01-20T14:15:09,000Z;85,02;85,99;84,55;14444;TGAR11;None
FII BC FUND CI  ER;2025-01-20T14:15:03,000Z;39,6;40;39,56;7935;BRCR11;None
FII XP SELECCI;2025-01-20T14:15:22,000Z;5,99;6,18;5,99;16103;XPSF11;None
FII BTLG    CI  ER;2025-01-20T14:14:50,000Z;91,92;92,77;91,77;17912;BTLG11;None
FII LVBI VBICI;2025-01-20T14:15:41,000Z;93,38;94,19;93,25;4502;LVBI11;None
FII VINCI LGCI;2025-01-20T14:14:57,000Z;71,57;72,22;71,3;4194;VILG11;None
FII XP LOG  CI;2025-01-20T14:14:55,000Z;90,93;91,07;90,7;9416;XPLG11;None
FII HEDGEBS CI;2025-01-20T14:14:38,000Z;179,98;180,12;179,2;2682;HGBS11;None
FII VINCI SCCI;2025-01-20T14:14:57,000Z;93,79;94,89;93,31;10796;VISC11;None
FII XP MALLSCI;2025-01-20T14:15:55,000Z;95,65;96,4;94,95;55753;XPML11;None
FII TRX REALCI;2025-01-20T14:15:02,000Z;99,39;99,99;98,77;9961;TRXF11;None
BRASIL      ON      NM;2025-01-20T14:14:59,000Z;25,57;25,6;25,26;2864800;BBAS3;3,633902
BTGP BANCO  UNT     N2;2025-01-20T14:11:24,000Z;30;30,06;29,62;517300;BPAC11;None
ISA ENERGIA PN  EJ  N1;2025-01-20T14:15:44,000Z;23,13;23,13;22,95;261900;ISAE4;5,0207267
ORIZON      ON      NM;2025-01-20T14:13:25,000Z;36,56;36,75;36,19;38300;ORVR3;1,9278731
ITAUSA      PN      N1;2025-01-20T14:13:16,000Z;9,14;9,16;9,01;2139700;ITSA4;1,2947801
COPASA      ON      NM;2025-01-20T14:13:00,000Z;21,79;21,84;21,63;69400;CSMG3;3,6900618
